,precision,recall,f1-score,support
Tomato__Target_Spot,0.8743169398907104,0.7619047619047619,0.8142493638676844,210.0
Tomato__Tomato_mosaic_virus,0.9322033898305084,0.9821428571428571,0.9565217391304348,56.0
Tomato__Tomato_YellowLeaf__Curl_Virus,0.9957173447537473,0.9647302904564315,0.9799789251844047,482.0
Tomato_Bacterial_spot,0.9439252336448598,0.9498432601880877,0.946875,319.0
Tomato_Early_blight,0.9290780141843972,0.8733333333333333,0.9003436426116839,150.0
Tomato_healthy,0.6878612716763006,1.0,0.815068493150685,238.0
Tomato_Late_blight,0.9740740740740741,0.9195804195804196,0.9460431654676259,286.0
Tomato_Leaf_Mold,1.0,0.9230769230769231,0.96,143.0
Tomato_Septoria_leaf_spot,0.9498207885304659,0.9962406015037594,0.9724770642201835,266.0
Tomato_Spider_mites_Two_spotted_spider_mite,0.9509803921568627,0.7698412698412699,0.8508771929824561,252.0
accuracy,0.9184013322231473,0.9184013322231473,0.9184013322231473,0.9184013322231473
macro avg,0.9237977448741926,0.9140693717027844,0.9142434586615158,2402.0
weighted avg,0.9299813136786061,0.9184013322231473,0.9196280997260221,2402.0
